Z轴	Z-axis
向左平移	LeftMove
向右平移	RightMove
向上平移	UpMove
向下平移	DownMove
可能的	Possible
圆周率	PI
最小数	MinimumNumber
多	More
少	Less
恰好有	JustHave
公共线	CommonLine
公共面	CommonPlane
一位数	OneDigit
增减性	IncreasingDecreasing
内部	Interior
正余弦	PositiveCosine
立方和	SumOfCubes
主视图	FrontView
增区间	IncreasingInterval
减区间	DecreasingInterval
变化率	RateOfChange
回归模型	RegressionModel
线性相关性	LinearCorrelation
基本算法语句	BasicAlgorithmStatement	
数域	NumberDomain
表	Table
初相	InitialPhase	
项	Item
三等分点	TrisectionPoint
函数关系式	FunctionRelationalExpression
特征值	FeatureValue
所给区域	GivenDomain
对顶角	VerticalAngle
最小二乘估计公式	LeastSquaresEstimationFormula
规则	Rule
弧度制	RadianMeasure
下确界	Infimum	
折线段	BrokenLineSegment
末位数字	LastNumber	
振幅	Amplitude	
负相关	NegativeCorrelation	
截距	Intercept
简单表示法	SimpleRepresentation
论断	Judgment	
几何意义	GeometricMeaning
证法	Proof
最值	ExtremeValue
猜想	Conjecture
右图	RightDrawing	
第一象限	FirstQuadrant
第1象限	FirstQuadrant
第二象限	SecondQuadrant
第2象限	SecondQuadrant
第三象限	ThirdQuadrant
第3象限	ThirdQuadrant
第四象限	FourthQuadrant
第4象限	FourthQuadrant
第五象限	FifthQuadrant
第5象限	FifthQuadrant
第六象限	SixthQuadrant
第6象限	SixthQuadrant
第七象限	SeventhQuadrant
第7象限	SeventhQuadrant
第八象限	EighthQuadrant
第8象限	EighthQuadrant
上半平面	UpHalfPlane
动弦	DynamicString
几何	Geometric	
模型	Model	
函数增减	FunctionIncreasingDecreasing
侧面积	SideArea
加权平均数	WeightedAverage
开区间	OpenInterval
圆系方程	CircleSystemEquation
情况	Situation	
中位线长	LongOfNeutralityLine			
右准线	RightDirectrix
一边	OneEdge	
等号	EqualSign	
相关系数	CorrelationCoefficients	
总偏差平方和	SquareSumOfTotalDeparture
关系	Relation	
公共定义域	PublicDomain
性质	Property	
反向	ReverseDirection
向量法	VectorMethod
二进制	Binary
四进制	Quaternary
八进制	Octonary
十进制	Decimal	
一般方法	GeneralMethod
模	Modulus
万位	Myriabit	
中心对称	CenterSymmetry
平分线	Bisector
单调增区间	MonotoneIncreasingInterval
互异性	Inequality
Z轴	Z-axis
截面	Section
线性回归模型	LinearRegressionModel
类型	Type
割线	SecantLine
圆心距(?!离)	DistanceOfCentersOfCircle
推证过程	ProveProcess	
闭区间	ClosedInterval	
加	Plus	
平分面	BisectionPlane		
棱长	EdgeLength	
弓形	Arch			
连线	Ligature		
极值点	ExtremeValuePoint
原子数	AtomicNumber
内接	Inscribe	
法向量	NormalVector
单调减区间	MonotoneDecreasingInterval	
余弦定理	CosineTheorem
递增	Ascending
平方米	SquareMeter	
代数	Algebraic
是等腰直角△	IsIsoscelesRightTriangle
第0项	ZeroItem
第1项	FirstItem
第2项	SecondItem
第3项	ThirdItem
第4项	FourthItem
第5项	FifthItem
第6项	SixthItem
第七项	SeventhItem
第7项	SeventhItem
第八项	EighthItem
第8项	EighthItem
第九项	NinthItem
第9项	NinthItem
终点	EndPoint
数量积	DotProduct
弦长	ChordLength
第几项	WitchItem
封闭图形	ClosedPatterning
结果	Result
前提	Condition
四进位制数	QuaternaryDigit
简单命题	SimpleProposition
分类	Classification
正	Positive
题意	SubjectMeaning
下底面	DownBottom
通项	GeneralItem
正约数	PositiveDivisor
上表	UpTable
轨迹方程	LocusEquation	
函数图像	FunctionGraphic
除数	Divisor
推理过程省略	ReasoningProcessOmit
列联表	ContingencyTable	
下表	DownTable	
宽	Width
底边	BottomEdge
最小数	MinimumNumber
比	Ratio
线性相关	LinearCorrelation	
形式	Form
勾股定理	PythagoreanTheorem
凸n边形	Convexn-gon	
数字	Number
区域	Domian
扩充	Extended
数据	Data	
闭函数	ClosedFunction	
左支	LeftBranch
正切值	TangentValue
数对序列	NumberPairSequence	
连续赋值	ContinuousAssignment
范围	Range
虚轴	VirtualAxis
原理	Principle	
分步乘法计数原理	SquareCountPrincipleByStep	
分类加法计数原理	ClassificationAdditionCountPrinciple
基本步骤	BasicStemp
千位	Kilobit
几何平均数	GeometricAverage
有理项	RationalItem
不等关系	UnequalRelation	
交线	IntersectingLine
个数(?!字)	Number
母线	Generatrix
边界	Border
斜线	ObliqueLine
(?<=的)距离	Distance
分布	Distribution	
表格	Table
平行线	ParallelLine	
底面半径	BottomRadius
开口	Opening
正确命题	CorrectProposition	
增量	Increament	
真假	TrueOrFalse	
长半轴	LongHalfShaft
连续性	Continuity
负	Negative
相反向量	ContraryVector
公切线	PublicTangent	
反面	BackFace	
正弦定理	SineTheorem	
韦恩	Venn	
反例	CounterExample	
相关指数	CorrelationIndex
特点	Feature
逆时针方向	CounterClockWiseDirection	
方向	Direction
轨迹	Locus
数系	NumeralSystem
语句	Sentence
末位	Last	
正半轴	PositiveHalfShaft
符号	Symbol	
等分点	EqualDiversionPoint	
平方	Square	
侧棱长	SideEdgeLength
带状区域	BandDomain		
分布列	DistributionSequence
平均数	Average
运算	Operation
真假性	TrueOrFalse
虚部	VirtualComponent
求导运算	DifferentialOperation	
定义	Definition
同项	SameItem	
差	Difference
渐进线	AsymptoticLine
部分	Part
推理过程	ReasoningProcess
正负	PositiveNegative
回归平方和	ExplainedSumofSquares
十六进制	HexadecimalSystem
周长	Circumference
象限	Quadrant
相关性检验	CorrelationTest
圆周	Circumference
二分法	Dichotomy
斜二测画法	ObliqueSecondaryAuxiliaryDrawing
z轴	Z-Axis
平方根	SquareRoot	
底面平面	BottomPlane
邻边	AdjacentEdge	
规律	Rule	
常用求法	UsedMethod	
个体	Individual
个位	Unit
垂足	FootDrop
下半平面	DownHalfPlane	
底	Floor
乘积	Product
平均变化率	AverageChangeRate
概念	Concept
标准差	StandardDeviation
直观图	VisualDiagrams
极限	Limit
绝对值	AbsoluteValue
倍数	Multiple
曲边	Curved-side
韦恩[\(（]Venn[）\)]图	VennDiagram
上确界	Supremum
组数	ClassNumber
叙述	Narration
序号	SerialNumber
结论	Conclusion
块	Block
方差	Variance
不变	Invariant
表达式	Expression
说法	Parlance
轴	Axis
实体	Entity
散点图	ScatterDiagram
归纳推理	InductiveReasoning	
切点	PointCut	
中位数	Median
原来	Original	
多长	HowLong
编号	SerialerialNumber
阴影	Shadow	
周期	Periodic
大小	Size	
上底面	UpBottom
正周期	PositivePeriodic
棱柱形	Prism
系数	Coefficients
短半轴	ShortHalfShaft
拐点	InflectionPoint
只有	OnlyHave
算法流程图	AlgorithmFlowChart
底面积	BottomArea
位于异侧	OnOppositeSide
如右图	InRightDrawing
截所得	ChordLengthByCut
经过	Through
平行于	Parallel
取	Get
定直线	ConstantLine
在问题中	AtTheQuestion
不含	NoContain
不同	AreDifferent
对称点	SymmetryPoint
每一	Everyone
保持不变	NoChange
变为倍	BecomeMultiple
没有	NoHave
至多有	HaveNotMoreThan
至少有	HaveMoreThanOrEqual
在上有	HaveOn
约束条件	ConstraintCondition
不是	IsNot
求出	Asking
null的表达式	ExpressionOf
唯一的	OnlyOne
递减	Descending
递增	Ascending
null的延长线	ExtendedLineOf
在处存在	ExistAt
互补	Complementation
割线	SecantLine
已确定	Confirm
唯一确定	OnlyOneConfirm
输入	Input
在	On
同向	SyntheticDirection
x正半轴	X_PositiveHalfShaft
y正半轴	Y_PositiveHalfShaft
x负半轴	X_NegativeHalfShaft
y负半轴	Y_NegativeHalfShaft
X正半轴	X_PositiveHalfShaft
Y正半轴	Y_PositiveHalfShaft
X负半轴	X_NegativeHalfShaft
Y负半轴	Y_NegativeHalfShaft
异号	OppositeSign
同号	SameSign
内切	Inscribe	
在内部	Inside
虚线	DottedLine
经过变换	AfterTransformation
恒在	ConstantOn
最高	Highest
横截距	CrossIntercept
纵截距	ColumnIntercept
五点画法	FivePointDrawing
五点作图法	FivePointDrawing
伸长	Elongation
缩短	Shortening
换元	ChangeElement
相邻	Adjacent
向左平行移动	LeftMove
向右平行移动	RightMove
向上平行移动	UpMove
向下平行移动	DownMove
旋转轴	RotationAxis
积	Product
商	Merchant
差	Difference
插入	Insert
移动	Move
同向平行	SyntheticDirectionParallel
反向平行	ReverseDirectionParallel
积	Product
商	Merchant
从左到右	FromLeftToRight
任一	Any
各项系数	EveryItemCoefficient
沿着折到	FoldAlong
关于成中心对称	CentrosymmetryAbout
关于成轴对称	AxialSymmetryAbout
最高点	HighestPoint
无零点	NoZeroPoint
有零点	HaveZeroPoint
没有零点	NoZeroPoint
最值点	ExtremumPoint
周期内图像	GraphicOfInPeriodic
在两侧	OnDifferentSides
伸长倍	Mult_Extend
缩短倍	Mult_Shorten
对称中心	Symcenter
从左向右交于	IntersectFromLeftToRight
有且仅有	OnlyHave
仅有	OnlyHave
上方	Upward
下方	DownWard
上面	UpWard
下面	DownWard
有序数	OrderedNumber
代数余子式	AlgebraicCofacto
中心角	CenterAngle
底角	BaseAngle
第二象限的角	SecondQuadrantAngle
正项等差数列	PositiveArithmeticSequence
正项等比数列	PositiveGeometricSequence
二进制数	BinaryNumber
底面圆	BottomCircle
互余	Complementary
复数根	ComplexRoot
球坐标	SphericalCoordinate
坐标系方程	CoordinateEquation
内接正方体	InscribedCube
边界曲线	BoundaryCurve
封闭区域	ClosedRegion
等边圆柱	EquilateralCylinder
十进制数	DecimalNumber
弧度数	ArcDegree
对角线交点	DiagonalIntersection
锐角二面角	AcuteDihedralAngle
直角边	RightAngleEdge
二等分点	TwoEqualDiversionPoint
三等分点	ThreeEqualDiversionPoint
四等分点	FourEqualDiversionPoint
五等分点	FiveEqualDiversionPoint
六等分点	SixEqualDiversionPoint
七等分点	SevenEqualDiversionPoint
八等分点	EightEqualDiversionPoint
九等分点	NineEqualDiversionPoint
内接等边三角形	InscribedEquilateralTriangle
每项	EveryItem
各项	EveryItem
导数公式	DerivativeFormula
余弦公式	CosineFormula
体积公式	VolumeFormula
正四位数	PositiveFourDigits
按平移到	MoveByTo
非零向量	NonZeroVector
非0向量	NonZeroVector
代数余子式	AlgebraicCofactor
仅取得最大值	OnlyGetMaximalValue
仅取得最小值	OnlyGetMinimumValue
仅取得极大值	OnlyGetMaximumValue
仅取得极小值	OnlyGetMinimumValue
仅取得最值	OnlyGetMaxOrMinValue
仅取得极值	OnlyGetExtremeValue
不能确定	NotSure
null的坐标	CoordinateOf
null的长	LengthOf
展开式的null	OfExpandedFormular
null的系数	CoefficientsOf
平面四边形	PlaneQuadrangle
内接四边形	InscribedQuadrangle
底面四边形	BottomQuadrangle
空间四边形	SpaceQuadrangle
非负实数	NonNegativeRealNumber
面积关系	AreaRelation
体积关系	VolumeRelation
等式关系	EquationRelation
函数关系	FunctionRelation
线性相关关系	LinearCorrelationRelation
复数根	ComplexRoot
实系数方程	RealCoefficientsEquation
整数根	IntegerRoot
负根	NegativeRoot
负数根	NegativeRoot
仅有一个	OnlyOne
正数根	PositiveRoot
正根	PositiveRoot
整系数	IntegralCoefficients
有理数根	RationalNumberRoot
整数数列	IntegralSequence
正项数列	PositiveSequence
非负整数	NonNegativeInteger
实数数列	RealNumberSequence
定义域集合	DomianSet
大小顺序	SizeOrder
正四面体	PositiveTetrahedron
底面三角形	BottomTriangle
实系数	RealCoefficients
正值	PositiveValue
null的最小正值	MinimumPositiveValueOfParameter
最小正值	MinimumPositiveValue
最大项	MaximumItem
最小项	MinimumItem
按平移得到	MoveByTo
连续在	ContinuousAt
通过	Through
正相关	PositiveCorrelation
函数式	FunctionFormula
内接于	InscribedIn
整数值	IntegerValue
包含	Include
偶数项	EvenItem
奇数项	OddItem
整数项	IntegerItem
正项数列	IntegerItemSequence
弧长	ArcLength
圆弧	CircleArc
半焦距长	HalfFocalLength
腰长	WaistLength
腰	Waist
直角坐标平面	RightAngleCoordinatePlane
内切圆	InscribeCircle
最大值点	MaximalValuePoint
最小值点	MinimalValuePoint
正常数	PositiveConstant
投影上	ProjectionOn
射影上	ProjectiveOn
上	On
平方和	QuadraticSum
反三角函数值	InverseTrigonometricFunctionValue
表示结果	ExpressResult
项数	ItemNumber
空间图形	SpacePatterning
平面图形	PlanePatterning
点表示	UsePointExpress
平面点集	PlanePointSet
无	NoHave
求出	Asking
之间	Between
无穷个	Infinity
一定等于	MustEqual
不超过	NoMoreThan
左在	OnTheLeft
上在	OnTheUp
同一平面内	InSamePlane
具有相同起点	HaveSameStartingPoint
始终落在	AlwaysLocate
落在	Locate
二次曲线	QuadraticCurve
落在哪种	LocateWhich
取得最大	GetMost
取得最小	GetMinimum
绕逆时针旋转向右平移	CirclingCounterclockwiseAboutRightMove
绕顺时针旋转	CirclingclockwiseAbout
绕逆时针旋转	CirclingCounterclockwiseAbout
null的方向	DirectionOf
相同	AreSame
不相同	AreDifferent
至少有是	HaveAtLeast
能否分割成	IsOrNotPartition
比值	SpecificValue
什么曲线	WhatCurve
没有公共点	NoHaveCommonPoint
最小	Minimal
最大	Maximal
分比	DivideRatio
null的射影	ProjectiveOf
反三角函数	AntiTrigonometricFunction
向量集合	VectorSet
自作垂线垂足	FromPointMakePerpendicularFootDrop
函数解析式	FunctionAnalysisFormula
null的共轭复数	ConjugateComplexOf
z轴	Z-axis
Y轴	Y-axis
X轴	X-axis
所截得	ByIntercept
有公共边	HavePublicEdge
上	On
绕逆时针方向旋转	RotateByCounterClockWiseDirection
绕顺时针方向旋转	RotateByClockWiseDirection
点上	PointsOn
恒成立上	AlwaysRightOn
斜足	FootOblique	
或	Or
找出	FindOut
使取得	MakeGeting
不	No
球面距离	SphericalDistance
画在同一个直角坐标系	DrawOnSameRectangularCoordinate
增广矩阵	AugmentedMatrix
不等于	NoEqual
最大的	MaximalIn
最小的	MinimalIn
相应的	Corresponding
恒成立	AlwaysRight
恒不成立	NeverRight
不恒成立	NotAlwaysRight
将折起	MakeFold
充分非必要条件	UnNecessaryAndSufficientCondition
必要非充分条件	NecessaryNotSufficientCondition
既非充分也非必要条件	NeitherSufficientNorNecessaryConditions
最多有	HaveNotMoreThan
最少有	HaveMoreThanOrEqual
另一	Another
解	Solution
由几个不同数组成	ComposeWithDifferentNumber
绕旋转一周成	RollOneCircle
相交于	Intersect
关于的	AboutOf
无解	NoSolution
下列	Following
有序实数对	OrderedRealNumberPairs
实数对	RealNumberPairs
条件	Condition
满足条件的	OfSatisfactedCondition
在同侧	OnSameSides
在异侧	OnDifferentSides
比较大小	ToJudgeSize
计算	Compute
零点区间	IntervalOfZeroPoint
可能是	Maybe
延长相交	ExtendIntersect
构成三角形	ConstituteTriangle
存在唯一零点	ExistOnlyOneZeroPoint
判断是否垂直	JudgePerpendicularOrNot
判断是否平行	JudgeParallelOrNot
判断是否相交	JudgeIntersectOrNot
成等差数列	BecomeArithmeticSequence
成等比数列	BecomeGeometricSequence
不同公共点	DifferentCommonPoint
被分成	BeDividedInto
较长弧长	LongerArcLength
较短弧长	ShorterArcLength
定圆	SettingCircle
基本单位向量	BasicUnitVector
共圆	OnSameCricle
实半轴长	RealHalfShaftLength
虚半轴长	VirtualHalfShaftLength
同时增加得到	IncreaseToGetAtSameTime
存在唯一	ExistOnly
连接延长交	ConnectExtendIntersect
连接延长相交	ConnectExtendIntersect
具有相同	HaveTheSame
互异	Inequitable
充分且不必要条件	UnNecessaryAndSufficientCondition
必要且不充分条件	NecessaryNotSufficientCondition
对称	Symmetrical
估计	Estimate
$\forall$∈	ForAllBelongTo
$\exists$∈	ExistsBolongTo
移动轨迹	MovingPath
中线	MidLine
叫	Call
不超过最大	MaximumButNotExceed
超过最小	MinimumButExceed
组成	Compose
一切	ForAll
给定的	Given
相交的	IntersectOf
两两不同的	EveryTwoAreDifferent
不确定	NotSure
成	Become
单调递增函数	MonotonicIncreasingFunction
单调递减函数	MonotonicDecreasingFunction
最大距离	GreatestDistance
最小距离	LeastDistance
上顶点	UpTopPoint
指出	PointOut
试建立	TryBuild
切于	TangencyAt
无法计算	BeyondComputation
有定义	HaveDefinition
最长距离	LongestDistance
最短距离	ShortestDistance
以上答案都不对	NoneOfTheAnswersAreCorrect
以上都不对	NoneOfTheAnswersAreCorrect
以上均不对	NoneOfTheAnswersAreCorrect
两两不重合	MisalignmentEachOther
光线	Light
反射通过	ReflectionThrough
反射后	AfterReflection
一定通过	MustThrough
外心	OuterHeart
内心	InnerHeart
图中数据	DataInDrawing
根据可得	AccordingToget
平移可得	MoveToGet
外角平分线	OuterAngularBisector
内角平分线	InnerAngularBisector
使得成立的	MakeRightOf
使成立的	MakeRightOf
有解	HaveSolution
所对应	Corresponding
最大元素	GreatestElement
最小元素	LeastElement
是否具有	WhetherOrNotHave
公共部分	PublicPart
直四棱柱	StraightSquarePrism
最大面积	MaxPlaneArea
最大侧面面积	MaxSidePlaneArea
向右平移	RightMove
横坐标缩短	AbscissaShortening
向右平移横坐标缩短	RightMoveAbscissaShortening
从小到大排列	ArrangeFromSmallToLarge
位于内	LocatedIn
输出	Output
具有公共焦点	HavePublicFocus
非负半轴	NonNegativeHalfShaft
非空	NonEmpty
无法比较	BeyondJudge
可行域	FeasibleDomain
成等差数列	BecomeArithmeticSequence
成等比数列	BecomeGeometricSequence
劣弧	MinorArc
包括	Include
向右平移	RightMove
横坐标缩短	AbscissaShortening
横坐标伸长	AbscissaElongation
纵坐标缩短	OrdinateShortening
纵坐标伸长	OrdinateElongation
所有可能取值	AllPossibleValues
公共切线	PublicTangent
不大于最大	MaximumButNotGreaterThan
不小于最小	MinimumButNotLessThan
指明	PointOut
变化	Change
伸缩变换	TelescopicTransformation
试比较	TryToJudge
无法确定	BeyondConfirm
相割	PhaseCut
相离	PhaseSeparation
不在同一侧	OnDifferentSides
在同一侧	OnSameSides
不在同侧	OnDifferentSides
负实数	NegativeRealNumber
解不等式	SolveInequality
解方程	SolveEquation
劣弧	BadArc
半圆弧	SemicircleArc
表示	Express
增大	Increase
减小	Reduced
外切	ExternalCut
最大根	GreatestRoot
最小根	LeastRoot
无极值点	NoHaveExtremeValuePoint
无零点	NohaveZeroPoint
沿翻折	FoldBy
如下图所示	InBelowDrawing
球心	SphericalCenter
从向引	LeadFromTo
包括	Include
不等式组表示	UseInequalityGroupExpress
恰有不同的零点在	JustHaveDifferentZeroPointOn
恰有不同的零点	JustHaveDifferentZeroPoint
恰有零点在	JustHaveZeroPointOn
恰有零点 	JustHaveZeroPoint
到切线长	ToTangentLength
所对	Corresponding
不小于	GreaterThanOrEqual
一定有	MustHave
绕逆时针旋转到	CirclingCounterclockwiseAboutTo
恒为	AlwaysBe
第Number次输出的数	ParameterOfNumberTimeOutput
位于两侧	LocateInDifferentSides
取相同长度单位	SameLengthUnit
是否为	IsOrNot
是否是	IsOrNot
相邻顶点重合	AdjacentVertexCoincidence
有公切线	HavePublicTangent
真子集	TrueSubset
假子集	FalseSubset
组合体	Combination
既有	Have
也有	Have
又有	Have
既无	NoHave
也无	NoHave
又无	NoHave
使得	Make
使	Make
短轴端点	ShortAxisEndpoint
长轴端点	LongAxisEndpoint
延长交于	ExtendedIntersect
沿折到	FoldAlong
无公共点	NoCommonPoint
无交点	NoIntersection
取何值	GetWhatValue
相交所成	IntersectBecome
运动到	MoveTo
沿翻折得到	GetFoldAlong
截面积	AreaOfSection
有无数多	HaveCountless
周期数列	PeriodicSequence
恒过	AlwaysThrough
中垂线	MidPerpendicular
连接	Connect
连结	Link
上底	UpperLine
下底	DownLine
上底长	UpperLineLength
下底长	DownLineLength
无意义	HaveNoMeaning
相反数	OppositeNumber
倒数	Reciprocal
成立	MakeRight
有公共底面	HavePublicBottom
轴截面	AxialSection
顶角	PointAngle
求的程序框图	ResultOfProgramFlowchart
下顶点	DownTopPoint
给定	Given
函数值	FunctionValue
作	ToBuild
内接平行四边形	InscribedParallelQuadrangle
互为相反数	IsOppositeNumber
相异	AreDifferent
取值	Value
可能取值	MayValue
有number个不同	HaveNumberDifferent
仅有number个不同	OnlyHaveNumberDifferent
有number个不等	HaveNumberDifferent
仅有number个不等	OnlyHaveNumberDifferent
有number个	HaveNumber
仅有number个	OnlyHaveNumber
一次项	OneTerm
二次项	TwoTerm
三次项	ThreeTerm
四次项	FourTerm
五次项	FiveTerm
六次项	SixTerm
互为	ForEachOtherIs
系数和	SumOfCoefficients
自然常数	NaturalConstants
面积比	AreaRatio
等腰直角三角形	IsoscelesRightTriangle
各项不同	EveryItemIsInequality
各项为正数	EveryItemIsPositiveNumber
图	Drawing
下表定义	DefineInTable
较大值	LargerValue
较小值	SmallerValues
重合于	SuperpositionAt
小于	LessThan
有唯一	HaveOnlyOne
体积比	VolumeRatio
有公共焦点	HavePublicFocus
分成体积相等Number部分	DividedIntoPartsOfTheSameVolume
分成面积相等Number部分	DividedIntoPartsOfTheSameArea
分成长度相等Number部分	DividedIntoPartsOfTheSameLength
极径	PolarRadius
唯一	OnlyOne
沿翻折到	FoldAlongTo
有且仅有Number在上	OnlyHaveNumberOn
有且仅有Number在内	OnlyHaveNumberIn
阴影部分区域	ShadowPartArea
位于下方	LocateDown
反射后通过	ReflectionThrough
折叠	FoldUp
什么范围取值	WhatGetValueRange
互不相等	InequalityEachOther
存在多少	HowMuchExist
存在几	ExistNumber
其余上	OtherOn
全等	Congruent
相似	Similar
比大	Bigger
比小	Smaller
始边	BeginningSide
求和	AskingSum
求差	AskingDifference
求积	AskingProduct
求商	AskingMerchant
算法功能	ArithmeticFunctio
绕顺时针方向旋转得到	Circlingclockwise
绕逆时针方向旋转得到	CirclingCounterclockwise
沿折起到位置	MakeFoldToAbout
非正半轴	NoPositiveHalfShaft
非负半轴	NegativeHalfShaft
异面	NonUniplanar
一个	OnlyOne
含有	contain
与外切	TangentOfExternally
向引切线	LeadTangent
在内	In
在外	Out
由向引切线	DrawnTangents
与是相异的	Dissimilarity
在上定义	DefineOn
最大整数	Maxint
用表示	Express
按向量平移后的图像	TranslationWithVector
不小于	NoLessThan
被截得	BuyCut
沿折成	FoldInto
相邻对称轴	AdjacentSymmetryAxis
取值	Value
化简成	Simplify
沿平移	AlongTranslation
有极值点	HaveExtremePoint
#######################--------------时间分隔：6.16---------------###################
试求	Asking
有个元素	ThereAreElements
在上任取	TakeOffice
关于中心对称	CentroSymmetricAbout
截得到	Intercept
相互垂直	Orthogonal
棱长相等	EqualEdgeLength
公差不为零	ToleranceIsNotZero
取得极值自变量	ExtremeValueOfIndependentVariable
条数为	TheNumberOfBars
小于	LessThan
#######################--------------时间分隔：6.23---------------###################
一直线	Line
切	Tangency
有number个不同交点	HaveNumberDifferentIntersections
共焦点	Confocal
是否为定值	FixedValueOrNot
在上解	UpperSolution
方程有实数根	EquationHasRealRoot
在有极值	HaveExtremumOn
三角形的最大边长	MaxEdgeLengthOfTriangle
#######################--------------时间分隔：6.30---------------###################
函数的最小周期	MinimumPeriodOfFunction
不是单调函数	IsNotMonotonicFunction
无数条直线	CountlessLines
五点作图法	FivePointDrawingMethod
作出	Make
延长到	ExtendTo
相邻对称轴之间的距离	TheDistanceBetweenAdjacentSymmetricalAxes
到	To
#######################--------------时间分隔：7.14---------------###################
最近距离	ShortestDistance
在上不是	OnNot
最小内角	MinAngle
#######################--------------时间分隔：7.17---------------###################
输出的函数	FunctionOfOutput
输入的函数	FunctionOfInput
#######################--------------时间分隔：7.18---------------###################
使得取得最小值	MakeGetMinimumValue
使得取得最大值	MakeGetMaximalValue
从小到大成等比数列	FromSmallToLargeBecomeGeometricSequence
从小到大成等差数列	FromSmallToLargeBecomeArithmeticSequence
从大到小成等比数列	FromLargeToSmallBecomeGeometricSequence
从大到小成等差数列	FromLargeToSmallBecomeArithmeticSequence
#######################--------------时间分隔：7.19---------------###################
非钝角	NonObtuseAngle
非锐角	NonAcuteAngle
非直角	NonRightAngle
侧面面积	AreaOfSidePlaneArea
#######################--------------时间分隔：7.20---------------###################
既又	Both
总在上	AlwaysOn
#######################--------------时间分隔：7.21---------------###################
是否共线	WhetherOrNotOnSameLine
是否在上	WhetherOrNotOn
记作	RecordAs
#######################--------------时间分隔：7.24---------------###################
运动	Move
#######################--------------时间分隔：7.25---------------###################
在内的	InOf
在上有且仅有	OnOnlyHave
由给定	GivenBy
#######################--------------时间分隔：7.27---------------###################
折起	FoldUp
表示为	RepresentAs
前number项积	ProductOfPreN
#######################--------------时间分隔：7.28---------------###################
旋转一周	RollOneCircle
试判断	TryJudge 
负向量	NegativeVector
数学归纳法	MathematicalInduction
从开始	FromBegin
最多	NotMoreThan
将分割成	MakePartition
随theta的值的变化而变化	ChangeInValueOfTheta
没有交点	NoHaveIntersection
任一点	AnyPoint
互相垂直	Orthogonal
连接组成	ConnectCompose
最优解	OptimalSolution
不唯一	Unique
取得最优解	GetOptimalSolution
#######################--------------时间分隔：7.30---------------###################
第个不等式	TheNumberInequality
可能	Maybe
同一条	TheSameOneStrip
绕	Around
逆时针旋转	AnticlockwiseRotation
同一个	TheSameOne
在是减函数	ReductionFunctionOn
截	Cut
取得最短	GetTheShortest
公切线	PublicTangent
被整除	DivisibleBy
在公切线	PublicTangentOfCurve
恒大于	AlwaysGreaterThan
整数解	IntegerSolution
由得到	GetBy
最近	Nearest
总在	AlwaysOn
正弦函数	SineFunction
简图	Diagram
函数的简图	DiagramOfFunction
如下图	InDrawing
表示同一函数	RepresentingTheSameFunction
同一函数	TheSameFunction
在解	SolutionOn
无对称轴	NoSymmetryAxis
同一坐标系内的图象	ImagesInTheSameCoordinateSystem
连续	Continuity
是否平行于	IsOrNotParallel
与有关	RelateTo
与无关	Unrelated
取得最大值时的自变量	IndependentVariableOfGetMaximalValue
找出	FindOut
是否存在	ExistOrNot
被截去	CutOff
完全相同	ExactlyTheSame
服从	Obey
右边	Right
用表示出	UseEXpress
有无数个	ThereAreCountless
折起	FoldUp
表示为	RepresentAs
#######################--------------时间分隔：7.31---------------###################
由向所作	FromToMake
#######################--------------时间分隔：8.3---------------###################
所在区间	OnTheIntervalOf
周期内图象	GraphicInPeriodic
用画出	DrawBy
取得时的	GetWhen
全等	Congruent
一个	OnlyOne
作答方式	AnswerWay
有实根	HaveRealRoot
使为	MakeBecome
解析表达式	AnalyticalExpression
位于上方	IntheAbove		
所有可能	AllPossible
仅有number个不同实数根	OnlyHaveNumberDifferentRealRoot
幂	Power
取值集	ValueSet
共有	NumberofTotal
过作	ThroughAndMake
是否在	IforNotOn
可导	CanDerived
正六棱锥	RegularHexagonalPyramid
依次记为	InSequence
组成图形	ComposeGraph
等腰非等边三角形	IsoscelesScaleneTriangle
三边均不相等	EveryEdgeIsInequality
只能作	OnlyCanMake
可作	CanMake
无数条	Countless
必过	MustThrough
有根个数	NumberofRoots
由此猜想	ThusConjecture
由此猜测	ThusGuess
将绕旋转一周形成	RollOneCircle
曲面	Surface
沿折起	MakeFold
至少与其中一条相交	AtLeastOneIntersect
至多与其中一条相交	AtMostOneIntersect
用去截所得	UseTOCutIncome
有两解	HaveNumberSolution
以上答案都有不对	NoneOfTheAnswersAreCorrect
相交但不垂直	IntersectButNotVertical
不一定平行于	NotSureParallel
一个	One
将分成的	BeDividedInto
圆	Ellipse
符合条件	MathCondition
连续三项	ThreeConsecutive
成	Become
点列	PointRange
以上都有可能	AboveIsPossible
都有可能	AboveIsPossible
一支	piece
异面	NonUniplanar
平行或相交	ParallelOrIntersect
猜	Guess
猜测	Guess
实系数一元二次方程	PracticalCoefficientsUnaryQuadraticEquation
移	Move
得	Get
非	No
两两互相垂直	PerpendicularToEachOther
较大者	Larger
以做	UseDo
以作	UseDo
条件	Condition
得到	Get
横坐标缩短倍	AbscissaShortening
横坐标伸长倍	AbscissaElongation
左移	LeftMove
右移	RightMove
充分而不必要的条件	ConditionOfUnnecessaryAndSufficient
必要而不充分的条件	ConditionOfNecessaryNotSufficient
既不充分也不必要的条件	ConditionOfUnnecessaryAndNotSufficient
有实数根	HaveRealRoot
